MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:98002	Rpl12	ribosomal protein L12	2		cytosolic large ribosomal subunit			ISO	RGD:1565106 	J:155856 
MGI:98002	Rpl12	ribosomal protein L12	2		large ribosomal subunit			IBA	PTN000184007 	J:265628 
MGI:105922	Rpl13	ribosomal protein L13	8		cytosolic large ribosomal subunit			IBA	PTN000197497 	J:265628 
MGI:105922	Rpl13	ribosomal protein L13	8		cytosolic large ribosomal subunit			ISO	RGD:621179 	J:155856 
MGI:1351455	Rpl13a	ribosomal protein L13A	7		cytosolic large ribosomal subunit			IBA	PTN000166703 	J:265628 
MGI:1351455	Rpl13a	ribosomal protein L13A	7		cytosolic large ribosomal subunit			ISO	RGD:628697 	J:155856 
MGI:1351455	Rpl13a	ribosomal protein L13A	7		large ribosomal subunit			IEA	IPR005755 	J:72247 
MGI:1914365	Rpl14	ribosomal protein L14	9		cytosolic large ribosomal subunit			IBA	PTN000874665 	J:265628 
MGI:1914365	Rpl14	ribosomal protein L14	9		cytosolic large ribosomal subunit			ISO	RGD:621180 	J:155856 
MGI:1913730	Rpl15	ribosomal protein L15	14		cytosolic large ribosomal subunit			IBA	PTN000217960 	J:265628 
MGI:1913730	Rpl15	ribosomal protein L15	14		cytosolic large ribosomal subunit			ISO	RGD:621181 	J:155856 
MGI:2448270	Rpl17	ribosomal protein L17	18		cytosolic large ribosomal subunit			IBA	PTN000174131 	J:265628 
MGI:2448270	Rpl17	ribosomal protein L17	18		cytosolic large ribosomal subunit			ISO	RGD:1303019 	J:155856 
MGI:2448270	Rpl17	ribosomal protein L17	18		large ribosomal subunit			IEA	IPR005721 	J:72247 
MGI:98003	Rpl18	ribosomal protein L18	7		cytosolic large ribosomal subunit			IBA	PTN000859219 	J:265628 
MGI:98003	Rpl18	ribosomal protein L18	7		cytosolic large ribosomal subunit			ISO	RGD:621182 	J:155856 
MGI:98003	Rpl18	ribosomal protein L18	7		cytosolic large ribosomal subunit			ISO	Q07020 	J:164563 
MGI:1924058	Rpl18a	ribosomal protein L18A	8		cytosolic large ribosomal subunit			IBA	PTN000006274 	J:265628 
MGI:1924058	Rpl18a	ribosomal protein L18A	8		cytosolic large ribosomal subunit			ISO	RGD:1302976 	J:155856 
MGI:1924058	Rpl18a	ribosomal protein L18A	8		cytosolic large ribosomal subunit			ISO	Q02543 	J:164563 
MGI:98020	Rpl19	ribosomal protein L19	11		cytosolic large ribosomal subunit			IBA	PTN000076564 	J:265628 
MGI:98020	Rpl19	ribosomal protein L19	11		cytosolic large ribosomal subunit			IDA		J:31514 
MGI:98020	Rpl19	ribosomal protein L19	11		cytosolic large ribosomal subunit	is a part of testis		IDA		J:197929 
MGI:98020	Rpl19	ribosomal protein L19	11		cytosolic large ribosomal subunit			ISO	RGD:621183 	J:155856 
MGI:98020	Rpl19	ribosomal protein L19	11		cytosolic large ribosomal subunit			ISO	P84098 	J:164563 
MGI:1278340	Rpl21	ribosomal protein L21	5		cytosolic large ribosomal subunit			IBA	PTN001463935 	J:265628 
MGI:1278340	Rpl21	ribosomal protein L21	5		cytosolic large ribosomal subunit			ISO	RGD:68390 	J:155856 
MGI:99262	Rpl22	ribosomal protein L22	4		cytosolic large ribosomal subunit			ISO	RGD:621189 	J:155856 
MGI:1929455	Rpl23	ribosomal protein L23	11		cytosolic large ribosomal subunit			IBA	PTN000205184 	J:265628 
MGI:1929455	Rpl23	ribosomal protein L23	11		cytosolic large ribosomal subunit			ISO	RGD:62067 	J:155856 
MGI:3040672	Rpl23a	ribosomal protein L23A	11		cytosolic large ribosomal subunit			IBA	PTN000178698 	J:265628 
MGI:3040672	Rpl23a	ribosomal protein L23A	11		cytosolic large ribosomal subunit			ISO	RGD:1304897 	J:155856 
MGI:1915443	Rpl24	ribosomal protein L24	16		cytosolic large ribosomal subunit			IBA	PTN000846433 	J:265628 
MGI:1915443	Rpl24	ribosomal protein L24	16		cytosolic large ribosomal subunit			ISO	P83732 	J:73065 
MGI:1915443	Rpl24	ribosomal protein L24	16		cytosolic large ribosomal subunit			ISO	P83731 	J:164563 
MGI:106022	Rpl26	ribosomal protein L26	11		cytosolic large ribosomal subunit			IBA	PTN000124940 	J:265628 
MGI:106022	Rpl26	ribosomal protein L26	11		cytosolic large ribosomal subunit			ISO	RGD:1310607 	J:155856 
MGI:98036	Rpl27	ribosomal protein L27	11		cytosolic large ribosomal subunit			IBA	PTN000052145 	J:265628 
MGI:98036	Rpl27	ribosomal protein L27	11		cytosolic large ribosomal subunit			ISO	RGD:621192 	J:155856 
MGI:1347076	Rpl27a	ribosomal protein L27A	7		cytosolic large ribosomal subunit			IBA	PTN000197373 	J:265628 
MGI:1347076	Rpl27a	ribosomal protein L27A	7		cytosolic large ribosomal subunit			ISO	RGD:1309771 	J:155856 
MGI:1347076	Rpl27a	ribosomal protein L27A	7		large ribosomal subunit			IEA	IPR030878 	J:72247 
MGI:101839	Rpl28	ribosomal protein L28	7		cytosolic large ribosomal subunit			IBA	PTN000057380 	J:265628 
MGI:101839	Rpl28	ribosomal protein L28	7		cytosolic large ribosomal subunit			ISO	RGD:621193 	J:155856 
MGI:99687	Rpl29	ribosomal protein L29	9		cytosolic large ribosomal subunit			IBA	PTN000306390 	J:265628 
MGI:99687	Rpl29	ribosomal protein L29	9		cytosolic large ribosomal subunit			ISO	RGD:62069 	J:155856 
MGI:98037	Rpl30	ribosomal protein L30	15		cytosolic large ribosomal subunit			IBA	PTN000154874 	J:265628 
MGI:98037	Rpl30	ribosomal protein L30	15		cytosolic large ribosomal subunit			ISO	RGD:621201 	J:155856 
MGI:98037	Rpl30	ribosomal protein L30	15		cytosolic large ribosomal subunit			ISO	P62888 	J:164563 
MGI:2149632	Rpl31	ribosomal protein L31	1		cytosolic large ribosomal subunit			IBA	PTN000102776 	J:265628 
MGI:2149632	Rpl31	ribosomal protein L31	1		cytosolic large ribosomal subunit			ISO	RGD:621202 	J:155856 
